Price,FlightNumber,Date of Departure,Date of Arrival,Available seats,Arrival Airport code,Arrival Airport name,Departure Airport code,Departure Airport name,Flight Duration,Scraping date
45.99,FR 6251,2023-04-16T17:00:00.000,2023-04-16T20:40:00.000,3,CFU,Corfu,CRL,Brussels (Charleroi),02:40,2023-03-16 08:34:56

141.99,FR 7986,2023-04-15T08:10:00.000,2023-04-15T12:35:00.000,0,HER,Heraklion Crete,CRL,Brussels (Charleroi),03:25,2023-03-16 08:34:56

84.99,FR 7986,2023-04-18T07:20:00.000,2023-04-18T11:45:00.000,1,HER,Heraklion Crete,CRL,Brussels (Charleroi),03:25,2023-03-16 08:34:56

78.71,FR 8577,2023-04-14T07:55:00.000,2023-04-14T12:30:00.000,3,RHO,Rhodes,CRL,Brussels (Charleroi),03:35,2023-03-16 08:34:57

60.99,FR 8577,2023-04-17T12:00:00.000,2023-04-17T16:35:00.000,5,RHO,Rhodes,CRL,Brussels (Charleroi),03:35,2023-03-16 08:34:57

65.46,FR 8577,2023-04-19T13:10:00.000,2023-04-19T17:45:00.000,0,RHO,Rhodes,CRL,Brussels (Charleroi),03:35,2023-03-16 08:34:57

80.45,FR 7737,2023-04-14T07:00:00.000,2023-04-14T09:25:00.000,0,BDS,Brindisi,CRL,Brussels (Charleroi),02:25,2023-03-16 08:34:58

59.37,FR 7737,2023-04-16T17:30:00.000,2023-04-16T19:55:00.000,1,BDS,Brindisi,CRL,Brussels (Charleroi),02:25,2023-03-16 08:34:58

21.99,FR 7737,2023-04-17T20:55:00.000,2023-04-17T23:20:00.000,1,BDS,Brindisi,CRL,Brussels (Charleroi),02:25,2023-03-16 08:34:58

39.67,FR 7737,2023-04-18T17:20:00.000,2023-04-18T19:45:00.000,4,BDS,Brindisi,CRL,Brussels (Charleroi),02:25,2023-03-16 08:34:58

37.41,FR 1302,2023-04-13T06:25:00.000,2023-04-13T08:40:00.000,5,NAP,Naples,CRL,Brussels (Charleroi),02:15,2023-03-16 08:34:58

