Price,FlightNumber,Date of Departure,Date of Arrival,Available seats,Arrival Airport code,Arrival Airport name,Departure Airport code,Departure Airport name,Flight Duration,Scraping date
239.99,TB 1753,2023-04-18T06:05,2023-04-18T10:05,10,TFS,Tenerife,BRU,Brussel,5u 0m,2023-03-16 10:22:11

149.99,TB 2197,2023-04-23T06:40,2023-04-23T10:45,10,CFU,Corfu,BRU,Brussel,3u 5m,2023-03-16 10:22:19

229.99,TB 2265,2023-04-20T06:15,2023-04-20T11:05,10,HER,Kreta-Heraklion,BRU,Brussel,3u 50m,2023-03-16 10:22:27

249.99,TB 2285,2023-04-21T06:20,2023-04-21T11:10,10,HER,Kreta-Heraklion,BRU,Brussel,3u 50m,2023-03-16 10:22:27

349.99,TB 2283,2023-04-23T06:20,2023-04-23T11:10,7,HER,Kreta-Heraklion,BRU,Brussel,3u 50m,2023-03-16 10:22:27

279.99,TB 2251,2023-04-24T06:15,2023-04-24T11:05,10,HER,Kreta-Heraklion,BRU,Brussel,3u 50m,2023-03-16 10:22:27

219.99,TB 2341,2023-04-21T06:00,2023-04-21T11:00,10,RHO,Rhodos,BRU,Brussel,4u 0m,2023-03-16 10:22:35

349.99,TB 2341,2023-04-22T14:15,2023-04-22T19:15,3,RHO,Rhodos,BRU,Brussel,4u 0m,2023-03-16 10:22:35

259.99,TB 2341,2023-04-23T14:15,2023-04-23T19:15,10,RHO,Rhodos,BRU,Brussel,4u 0m,2023-03-16 10:22:35

349.99,TB 2367,2023-04-25T06:00,2023-04-25T11:00,10,RHO,Rhodos,BRU,Brussel,4u 0m,2023-03-16 10:22:35

249.99,TB 1315,2023-04-23T16:35,2023-04-23T20:10,10,FAO,Faro,BRU,Brussel,4u 35m,2023-03-16 10:23:08

99.99,TB 1111,2023-04-19T06:05,2023-04-19T08:50,10,ALC,Alicante,BRU,Brussel,2u 45m,2023-03-16 10:23:16

87.99,TB 1113,2023-04-19T06:30,2023-04-19T09:15,10,ALC,Alicante,BRU,Brussel,2u 45m,2023-03-16 10:23:16

95.99,TB 1111,2023-04-20T06:05,2023-04-20T08:50,10,ALC,Alicante,BRU,Brussel,2u 45m,2023-03-16 10:23:16

229.99,TB 1419,2023-04-21T06:15,2023-04-21T10:40,4,ALC,Alicante,BRU,Brussel,4u 25m,2023-03-16 10:23:16

179.99,TB 1135,2023-04-22T06:00,2023-04-22T08:45,10,ALC,Alicante,BRU,Brussel,2u 45m,2023-03-16 10:23:16

144.99,TB 1233,2023-04-23T06:10,2023-04-23T10:10,10,ALC,Alicante,BRU,Brussel,4u 0m,2023-03-16 10:23:16

129.99,TB 1111,2023-04-24T06:05,2023-04-24T08:50,10,ALC,Alicante,BRU,Brussel,2u 45m,2023-03-16 10:23:16

134.99,TB 1111,2023-04-25T06:15,2023-04-25T09:00,10,ALC,Alicante,BRU,Brussel,2u 45m,2023-03-16 10:23:16

144.99,TB 1417,2023-04-20T06:20,2023-04-20T10:30,10,IBZ,Ibiza,BRU,Brussel,4u 10m,2023-03-16 10:23:24

229.99,TB 1417,2023-04-22T06:15,2023-04-22T10:25,10,IBZ,Ibiza,BRU,Brussel,4u 10m,2023-03-16 10:23:24

149.99,TB 1417,2023-04-23T06:30,2023-04-23T10:40,10,IBZ,Ibiza,BRU,Brussel,4u 10m,2023-03-16 10:23:24

99.99,TB 1011,2023-04-19T06:05,2023-04-19T09:10,10,AGP,Malaga,BRU,Brussel,3u 5m,2023-03-16 10:23:32

169.99,TB 1027,2023-04-20T06:05,2023-04-20T09:10,10,AGP,Malaga,BRU,Brussel,3u 5m,2023-03-16 10:23:32

154.99,TB 1011,2023-04-21T06:00,2023-04-21T09:05,10,AGP,Malaga,BRU,Brussel,3u 5m,2023-03-16 10:23:32

204.99,TB 1011,2023-04-22T06:00,2023-04-22T09:05,10,AGP,Malaga,BRU,Brussel,3u 5m,2023-03-16 10:23:32

199.99,TB 1011,2023-04-23T13:35,2023-04-23T16:40,10,AGP,Malaga,BRU,Brussel,3u 5m,2023-03-16 10:23:32

164.99,TB 1011,2023-04-24T06:05,2023-04-24T09:10,10,AGP,Malaga,BRU,Brussel,3u 5m,2023-03-16 10:23:32

129.99,TB 1011,2023-04-25T06:15,2023-04-25T09:20,10,AGP,Malaga,BRU,Brussel,3u 5m,2023-03-16 10:23:32

319.99,TB 1419,2023-04-21T06:15,2023-04-21T08:55,4,PMI,Palma de Mallorca,BRU,Brussel,2u 40m,2023-03-16 10:23:40

229.99,TB 1417,2023-04-22T06:15,2023-04-22T08:50,10,PMI,Palma de Mallorca,BRU,Brussel,2u 35m,2023-03-16 10:23:40

219.99,TB 1417,2023-04-23T06:30,2023-04-23T09:05,10,PMI,Palma de Mallorca,BRU,Brussel,2u 35m,2023-03-16 10:23:40

129.99,TB 1411,2023-04-24T06:15,2023-04-24T08:50,10,PMI,Palma de Mallorca,BRU,Brussel,2u 35m,2023-03-16 10:23:40

129.99,TB 1413,2023-04-25T15:30,2023-04-25T18:05,10,PMI,Palma de Mallorca,BRU,Brussel,2u 35m,2023-03-16 10:23:40

169.99,TB 1751,2023-04-19T14:05,2023-04-19T18:05,10,TFS,Tenerife,BRU,Brussel,5u 0m,2023-03-16 10:23:49

184.99,TB 1753,2023-04-20T13:00,2023-04-20T17:00,10,TFS,Tenerife,BRU,Brussel,5u 0m,2023-03-16 10:23:49

339.99,TB 1751,2023-04-21T06:05,2023-04-21T10:05,10,TFS,Tenerife,BRU,Brussel,5u 0m,2023-03-16 10:23:49

294.99,TB 1753,2023-04-21T13:35,2023-04-21T17:35,10,TFS,Tenerife,BRU,Brussel,5u 0m,2023-03-16 10:23:49

339.99,TB 1751,2023-04-22T06:05,2023-04-22T10:05,10,TFS,Tenerife,BRU,Brussel,5u 0m,2023-03-16 10:23:49

329.99,TB 1753,2023-04-23T15:25,2023-04-23T19:25,10,TFS,Tenerife,BRU,Brussel,5u 0m,2023-03-16 10:23:49

309.99,TB 1751,2023-04-24T06:10,2023-04-24T10:10,10,TFS,Tenerife,BRU,Brussel,5u 0m,2023-03-16 10:23:49

234.99,TB 1753,2023-04-25T06:05,2023-04-25T10:05,10,TFS,Tenerife,BRU,Brussel,5u 0m,2023-03-16 10:23:49

239.99,TB 2197,2023-04-28T14:45,2023-04-28T18:50,10,CFU,Corfu,BRU,Brussel,3u 5m,2023-03-16 10:23:57

319.99,TB 2191,2023-04-30T06:40,2023-04-30T10:45,10,CFU,Corfu,BRU,Brussel,3u 5m,2023-03-16 10:23:57

229.99,TB 2251,2023-04-27T06:15,2023-04-27T11:10,10,HER,Kreta-Heraklion,BRU,Brussel,3u 55m,2023-03-16 10:24:05

289.99,TB 2251,2023-04-28T06:20,2023-04-28T11:10,10,HER,Kreta-Heraklion,BRU,Brussel,3u 50m,2023-03-16 10:24:05

409.99,TB 2251,2023-05-01T06:15,2023-05-01T11:05,1,HER,Kreta-Heraklion,BRU,Brussel,3u 50m,2023-03-16 10:24:05

319.99,TB 2341,2023-04-28T06:00,2023-04-28T11:00,10,RHO,Rhodos,BRU,Brussel,4u 0m,2023-03-16 10:24:13

409.99,TB 2341,2023-04-29T14:15,2023-04-29T19:15,4,RHO,Rhodos,BRU,Brussel,4u 0m,2023-03-16 10:24:13

369.99,TB 2341,2023-04-30T14:15,2023-04-30T19:15,10,RHO,Rhodos,BRU,Brussel,4u 0m,2023-03-16 10:24:13

229.99,TB 1315,2023-04-30T14:50,2023-04-30T18:25,10,FAO,Faro,BRU,Brussel,4u 35m,2023-03-16 10:24:45

144.99,TB 1111,2023-04-26T06:05,2023-04-26T08:50,10,ALC,Alicante,BRU,Brussel,2u 45m,2023-03-16 10:24:53

144.99,TB 1113,2023-04-26T06:30,2023-04-26T09:15,10,ALC,Alicante,BRU,Brussel,2u 45m,2023-03-16 10:24:53

249.99,TB 1021,2023-04-27T06:05,2023-04-27T11:10,6,ALC,Alicante,BRU,Brussel,5u 5m,2023-03-16 10:24:53

189.99,TB 1111,2023-04-28T06:05,2023-04-28T08:50,10,ALC,Alicante,BRU,Brussel,2u 45m,2023-03-16 10:24:53

309.99,TB 1111,2023-04-29T06:00,2023-04-29T08:45,1,ALC,Alicante,BRU,Brussel,2u 45m,2023-03-16 10:24:53

264.99,TB 1115,2023-04-29T15:20,2023-04-29T18:05,10,ALC,Alicante,BRU,Brussel,2u 45m,2023-03-16 10:24:53

214.99,TB 1111,2023-04-30T06:10,2023-04-30T08:55,10,ALC,Alicante,BRU,Brussel,2u 45m,2023-03-16 10:24:53

189.99,TB 1111,2023-05-01T06:05,2023-05-01T08:50,10,ALC,Alicante,BRU,Brussel,2u 45m,2023-03-16 10:24:53

179.99,TB 1111,2023-05-02T06:15,2023-05-02T09:00,10,ALC,Alicante,BRU,Brussel,2u 45m,2023-03-16 10:24:53

359.99,TB 1417,2023-04-27T06:20,2023-04-27T10:30,5,IBZ,Ibiza,BRU,Brussel,4u 10m,2023-03-16 10:25:01

